○ Video  --vid=1  (h264 1024x576 30 fps 3134 kbps) [default]
○ Video  --vid=2  (h264 1280x720 30 fps 4953 kbps) [default]
○ Video  --vid=3  (h264 1920x1080 30 fps 9915 kbps) [default]
○ Video  --vid=4  (h264 320x180 30 fps 254 kbps) [default]
○ Video  --vid=5  (h264 320x180 30 fps 507 kbps) [default]
○ Video  --vid=6  (h264 480x270 30 fps 760 kbps) [default]
● Video  --vid=7  (h264 640x360 30 fps 1255 kbps) [default]
○ Video  --vid=8  (h264 640x360 30 fps 1013 kbps) [default]
○ Video  --vid=9  (h264 768x432 30 fps 1884 kbps) [default]
○ Video  --vid=10 (h264 3840x2160 30 fps 14932 kbps) [default]
○ Audio  --aid=1  (aac 2ch 48000 Hz 65 kbps) [default]
VO: [wlshm] 640x360 yuv420p
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=42 cache=14.7667
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=43 cache=14.7333
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=44 cache=14.7
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=45 cache=14.6667
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=45 cache=14.6333
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=45 cache=14.6
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=46 cache=14.5667
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=47 cache=14.5333
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=48 cache=14.5
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=49 cache=14.4667
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=49 cache=14.4333
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=49 cache=14.4
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=50 cache=14.3667
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=50 cache=14.3333
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=50 cache=14.3
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=50 cache=14.2667
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=50 cache=14.2333
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=51 cache=14.2
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=51 cache=14.1667
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=51 cache=14.1333
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=52 cache=14.3
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=52 cache=14.9333
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=53 cache=16.7333
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=53 cache=17.4333
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=53 cache=17.9667
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=54 cache=17.9333
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=55 cache=17.9
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=55 cache=17.8667
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=55 cache=17.8333
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=55 cache=17.8
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=55 cache=17.7667
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=56 cache=17.7333
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=56 cache=17.7
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=56 cache=17.6667
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=56 cache=17.6333
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=57 cache=17.6
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=57 cache=17.5667
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=57 cache=17.5333
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=57 cache=17.5
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=58 cache=17.4667
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=58 cache=17.4333
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=58 cache=17.4
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=58 cache=17.3667
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=59 cache=17.3333
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=59 cache=17.3
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=59 cache=17.2667
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=60 cache=17.2333
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=60 cache=17.7667
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=61 cache=18.9333
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=61 cache=19.3
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=61 cache=20.5
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=62 cache=21.0667
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=63 cache=21.0333
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=64 cache=21
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=65 cache=20.9667
pos=00:00:34 fps=30 decoder_drop=0 vo_drop=65 cache=20.9333
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=65 cache=20.9
